size,mean,std
1250,659.44,569.4584149874335
1250,687.84,581.0061397265953
1250,695.2,612.9477628640144
1250,646.36,528.1370564540989
1250,671.6,607.9386811184168
1250,671.0,577.4192584249333
1250,653.24,586.6817726843062
1250,639.88,567.4571222568275
1250,659.8,547.1032443698356
1250,664.44,607.0827673390178
1250,658.44,561.6536000062672
1250,673.96,569.0377126342331
1250,656.0,581.9621980850646
1250,658.24,572.0315571714553
1250,675.28,601.4988957595849
1250,658.08,566.7263127824576
1250,641.24,559.6474447364162
1250,656.64,583.7327388454412
1250,653.44,589.4032290376427
1250,683.44,596.6387235170041
1250,676.28,572.5411440237286
1250,694.8,619.5070298229068
1250,626.12,544.0953460561852
1250,678.6,611.3493600225652
1250,681.64,603.8119826568532
1250,685.2,617.2138689303733
1250,673.16,581.0762552367804
1250,658.16,570.8287084581503
1250,674.8,580.5591787234098
1250,677.64,596.5014923703042
1250,631.0,541.6428712722064
1250,670.48,579.9522132038121
1250,654.48,584.75629932477
1250,681.0,593.0067453241995
1250,643.04,553.8840658477187
1250,666.36,587.5800799891024
1250,694.88,612.0341376099866
1250,704.8,632.2823419960421
1250,664.28,557.478323883539
1250,655.24,562.6211357565586
1250,672.08,583.6235718337634
1250,646.04,589.8527938392765
1250,685.56,594.976878878499
1250,666.12,574.5973769518966
1250,667.6,594.2610874018254
1250,664.28,572.0787372381533
1250,679.96,618.7280488227441
1250,664.28,566.3833345005836
1250,683.68,584.9014084441924
1250,688.84,618.0982562667524
1250,678.0,628.5538958593766
1250,679.84,596.2428820539495
1250,682.56,586.1090738079389
1250,654.64,585.8075369948734
1250,677.0,570.579529951785
1250,705.12,644.0821264404099
1250,681.88,582.4651625633932
1250,644.44,562.273142164909
1250,691.72,610.1126466481415
1250,646.6,559.0943033156392
1250,666.12,607.7747490641578
1250,655.96,581.954017427494
1250,683.56,595.8420314143674
1250,678.28,602.5398257376852
1250,680.12,580.8500543169467
1250,675.96,566.5439774633563
1250,695.04,565.4196657351068
1250,669.12,585.8177409399617
1250,677.92,593.8690710922737
1250,642.24,598.5179883679353
1250,670.12,589.9603254457032
1250,685.6,603.8945603331761
1250,658.64,576.8685729002751
1250,664.84,543.5676355339784
1250,658.6,568.3977832469088
1250,664.92,582.174710546585
1250,646.84,561.9359522223151
1250,672.04,571.7693926750538
1250,652.8,583.095326683382
1250,665.52,584.670103220611
1250,666.6,589.8562875819839
1250,662.72,621.5611004559406
1250,669.96,592.3475317750552
1250,664.36,560.4317892482545
1250,644.6,561.4951825260837
1250,674.24,600.6533296336581
1250,658.2,555.7074410155042
1250,658.44,592.434609387399
1250,652.32,533.1590922041938
1250,663.64,587.6154783529787
1250,670.84,559.1884247729024
